Title,Author,Genre,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Date Read,Date Added,Exclusive Shelf
Our Missing Hearts,Celeste Ng,Contemporary Fiction,9780735245341,3,3.84,Viking,Hardcover,335.0,,2022/09/28,read
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,Self Help,9780525427575,0,4.21,Viking,Hardcover,576.0,,2023/01/20,to-read
The Skin We're In: A Year of Black Resistance and Power,Desmond Cole,Race,9780385686341,5,4.46,Doubleday Canada,Hardcover,248.0,,2023/01/16,read
"The Nasty Bits: Collected Varietal Cuts, Usable Trim, Scraps, and Bones",Anthony Bourdain,Essays,9781582344515,4,3.86,Bloomsbury USA,Hardcover,288.0,,2023/01/15,read
Tell Me How It Ends: An Essay in Forty Questions,Valeria Luiselli,Essays,9781566894951,0,4.41,Coffee House Press,Paperback,128.0,,2023/01/08,to-read
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)",Sarah J. Maas,Fantasy,9781635575620,3,3.8,Bloomsbury Publishing,Paperback,272.0,,2022/12/30,read
What Are You Looking At?: 150 Years of Modern Art in a Nutshell,Gompertz  Will,Art,9780670920495,0,4.2,VIKIN,Hardcover,464.0,,2022/12/29,to-read
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,Classics,9780771008795,4,4.13,Anchor Books,Paperback,314.0,,2022/12/26,read
"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",David Graeber,Politics,9781612193748,0,4.0,Melville House,Hardcover,261.0,,2022/12/24,to-read
"How the World Really Works: A Scientist's Guide to Our Past, Present and Future",Vaclav Smil,Science,9780241454404,0,4.0,Viking,Paperback,,,2022/12/24,to-read
Carrie Soto is Back,Taylor Jenkins Reid,Contemporary Fiction,9780593158685,4,4.24,Ballantine Books,Hardcover,384.0,,2022/08/24,read
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,Science,9780684853949,3,04.06,Touchstone,Paperback,243.0,,2021/08/08,read
"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)",Randall Munroe,Science,9780544272996,3,4.14,Dey Street Books,Hardcover,303.0,,2021/06/23,read
Between Two Kingdoms: A Memoir of a Life Interrupted,Suleika Jaouad,Memoir,9780399588587,0,4.43,Random House,Hardcover,352.0,,2022/12/09,to-read
Unmasked: My Life Solving America's Cold Cases,Paul Holes,Memoir,9781250622792,0,4.13,Celadon Books,Hardcover,288.0,,2022/12/09,to-read
